"date","artist","title","rank","peak_pos","last_week","weeks"
"2018-11-10","Lil Mosey","Kamikaze",97,NA,"",NA
"2018-11-10","Jason Aldean Featuring Miranda Lambert","Drowns The Whiskey",100,NA,"",NA
"2018-11-03","Ariana Grande","No Tears Left To Cry",50,52,"63",7
"2018-11-03","Future & Juice WRLD Featuring Young Scooter","Jet Lag",72,65,"80",10
"2018-11-03","Future & Juice WRLD","Astronauts",82,68,"89",12
"2018-11-03","Khalid","Saturday Nights",83,92,"-",2
"2018-11-03","Khalid Featuring Empress Of","Suncity",88,68,"94",13
"2018-11-03","Khalid","Vertigo",89,74,"-",3
"2018-11-03","Lil Yachty Featuring Juice WRLD","Yacht Club",91,32,"99",19
"2018-11-03","Juice WRLD","Make It Back",92,94,"-",5
"2018-11-03","Dua Lipa & BLACKPINK","Kiss And Make Up",93,68,"94",15
"2018-11-03","Weezer","Africa",96,NA,"",NA
"2018-11-03","Lil Yachty Featuring Playboi Carti","Get Dripped",98,NA,"",NA
"2018-10-27","Bebe Rexha & Florida Georgia Line","Meant To Be",31,33,"39",14
"2018-10-27","Quavo Featuring Drake","Flip The Switch",48,25,"25",2
"2018-10-27","Florida Georgia Line","Simple",60,46,"56",10
"2018-10-27","Quavo Featuring 21 Savage","Pass Out",61,52,"58",9
"2018-10-27","Queen Naija","Medicine",83,68,"68",11
"2018-10-27","Quavo","Biggest Alley Oop",86,83,"100",4
"2018-10-27","Quavo Featuring Travis Scott","Rerun",88,67,"-",5
"2018-10-27","Lil Wayne Featuring XXXTENTACION","Don't Cry",91,32,"-",17
"2018-10-27","Quavo","Huncho Dreams",93,68,"94",15
"2018-10-27","Young Thug Featuring Gunna & Lil Baby","Chanel (Go Get It)",94,96,"96",2
"2018-10-27","Labrinth, Sia & Diplo Present... LSD","Thunderclouds",95,NA,"",NA
"2018-10-27","Luke Bryan","Sunrise, Sunburn, Sunset",96,NA,"",NA
"2018-10-27","Kodak Black","If I'm Lyin, I'm Flyin",99,NA,"",NA
"2018-10-27","Quavo Featuring Lil Baby","Lose It",100,NA,"",NA
"2018-10-20","Lil Baby & Gunna Featuring Lil Durk & NAV","Off White VLONE",54,24,"54",4
"2018-10-20","Lil Baby & Gunna","Business Is Business",61,48,"69",15
"2018-10-20","Lady Gaga","Is That Alright?",63,67,"80",9
"2018-10-20","Lil Wayne Featuring Travis Scott","Let It Fly",67,45,"87",4
"2018-10-20","Lil Wayne","Dedicate",78,85,"96",6
"2018-10-20","twenty one pilots","Jumpsuit",79,69,"88",11
"2018-10-20","Lil Baby & Gunna","Belly",80,17,"17",2
"2018-10-20","twenty one pilots","My Blood",81,75,"92",12
"2018-10-20","Charlie Puth","The Way I Am",84,82,"97",7
"2018-10-20","Lil Wayne","Can't Be Broken",91,32,"-",17
"2018-10-20","Bradley Cooper","Maybe It's Time",93,68,"94",15
"2018-10-20","twenty one pilots","Nico And The Niners",95,NA,"",NA
"2018-10-20","Lil Baby","Deep End",97,NA,"",NA
"2018-10-20","Lil Baby & Gunna","I Am",98,NA,"",NA
"2018-10-13","Lil Wayne Featuring Sosamann","What About Me",24,3,"5",3
"2018-10-13","Lil Wayne Featuring Nicki Minaj","Dark Side Of The Moon",26,12,"29",30
"2018-10-13","Lil Wayne Featuring Reginae Carter","Famous",36,46,"46",9
"2018-10-13","Lil Wayne Featuring Snoop Dogg","Dope Niggaz",39,42,"43",9
"2018-10-13","Lil Wayne","Open Letter",47,56,"56",6
"2018-10-13","Lil Wayne","Problems",57,13,"40",4
"2018-10-13","Lil Wayne","Hittas",59,77,"77",4
"2018-10-13","Lil Wayne","Open Safe",62,65,"68",7
"2018-10-13","Lil Wayne","Took His Time",65,45,"66",18
"2018-10-13","Lil Wayne","Mess",74,64,"-",2
"2018-10-13","Lil Wayne","Let It All Work Out",75,32,"80",16
"2018-10-13","Lil Wayne Featuring Ashanti & Mack Maine","Start This Shit Off Right",76,86,"95",4
"2018-10-13","Lil Wayne","Used 2",78,85,"96",6
